IsiZulu,English
Sawubona, Hello
Yebo, Yes
Cha, No
Ngiyabonga, Thank you
Uxolo, Sorry / Excuse me
Ngicela, Please / May I
Hamba kahle, Go well 
Sala kahle, Stay well 
Kunjani?, How are you?
Ngiyaphila, I am well
Wena, You
Mina, Me/I
Unjani?, How are you? (singular)
Ninjani?, How are you? (plural)
Baba, Father
Mama, Mother
Mina, I / Me
Siyabonga, We thank you
Nami, Me too / I also
Ngilambile, I am hungry
Umuntu, Person / Human
Amanzi, Water
Ukudla, Food
Indlu, House
Umsebenzi, Work / Job
Isikole, School
Inja, Dog
Ikati, Cat
Imali, Money
Umama, Mother
Ubaba, Father
Ubhuti, Brother
Usisi, Sister
Injabulo, Happiness
Ubuhlungu, Pain
Ukuthula, Peace
Umfana, Boy
Intombazane, Girl
Izandla, Hands
Izinyawo, Feet
Umthandazo, Prayer
Ubuhle, Beauty
Uthando, Love
Imoto, Car
Indlela, Road / Way
Izulu, Sky / Weather
Ilanga, Sun
Inyanga, Moon / Month
Izinkanyezi, Stars
Umuzi, Home / Homestead
Izinyembezi, Tears
Ukukhanya, Light
Ubumnyama, Darkness
Injabulo, Joy
Umoya, Spirit / Wind
Umhlaba, Earth / World
Inkosi, King / Chief
Indlovu, Elephant
Ingwe, Leopard
Ibhubesi, Lion
Inyoni, Bird
Amazwi, Words
Ukwazi, Knowledge
Injabulo, Joy
Uthando, Love
Ubuqotho, Honesty
Ubuntu, Humanity / Kindness
Ukukhula, Growth
Ithemba, Hope
Ukukhuluma, Speak / Talk
